Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7
-0.895272681,0.522361962,4.624398273,0.423236667,-0.792731849,0.878618567,-1.078786396
-0.895272681,0.522361962,4.624398273,0.423236667,-0.792731849,0.878618567,-1.078786396
-1.225494185,-1.838187485,2.940445742,0.962784742,0.945118985,-0.912855774,-0.005020511
-1.774807265,-2.182436221,2.324354458,-0.103760177,-1.562345022,-0.577839043,0.706164165
-1.809106752,-2.238553677,2.431699158,0.155104939,-1.524898161,-0.478199931,0.674696951
-1.809106752,-2.238553677,2.431699158,0.155104939,-1.524898161,-0.478199931,0.674696951
-1.809106752,-2.238553677,2.431699158,0.155104939,-1.524898161,-0.478199931,0.674696951
-1.810658165,-2.236173087,2.427479165,0.159647018,-1.529707891,-0.462234262,0.676417993
-1.810658165,-2.236173087,2.427479165,0.159647018,-1.529707891,-0.462234262,0.676417993
-2.155177638,-1.089514011,3.051015529,0.43956234,-0.396331428,0.8792103,0.563808798
-1.737757078,-0.874975319,2.45853863,1.620656289,1.554246494,0.441850319,0.776382288
-1.737757078,-0.874975319,2.45853863,1.620656289,1.554246494,0.441850319,0.776382288
-1.737757078,-0.874975319,2.45853863,1.620656289,1.554246494,0.441850319,0.776382288
-1.737757078,-0.874975319,2.45853863,1.620656289,1.554246494,0.441850319,0.776382288
-1.225489687,-1.837998794,2.940166969,0.96328665,0.944618216,-0.911321247,-0.004813861
-1.225489687,-1.837998794,2.940166969,0.96328665,0.944618216,-0.911321247,-0.004813861
-1.558199652,-0.249194591,1.919681033,0.132328671,1.120045368,0.037012039,0.56161399
-1.515490521,-0.354338583,1.768820597,-0.278132533,0.938099655,-0.094194413,0.57320886
-1.514234799,-0.354956133,1.769958858,-0.277675528,0.938182987,-0.093613589,0.57348774
-1.421619529,-0.148821721,1.721921258,-1.62403904,0.59455248,-0.072918492,0.502062829
-1.60793688,-0.631431927,1.393655208,-1.062859467,0.940613798,-0.106315409,0.75778942
-1.798233222,-1.986302747,-0.56680452,-0.894320727,1.037222698,-0.688595036,0.192824836
-1.795903867,-2.037556915,-0.569243377,-0.937325405,1.009231982,-0.676321436,0.190694589
-1.795903867,-2.037556915,-0.569243377,-0.937325405,1.009231982,-0.676321436,0.190694589
-1.364712651,-1.19963132,0.956363642,-0.953344811,1.212037752,-0.328631694,1.037162674
-1.773900869,-2.070525571,-0.521955683,-0.949359979,1.017968251,-0.692960142,0.193286981
-1.759526332,-2.122578594,2.166290052,-0.472479571,-1.638130851,-0.628240089,0.749835692
-1.774807265,-2.182436221,2.324354458,-0.103760177,-1.562345022,-0.577839043,0.706164165
-1.774807265,-2.182436221,2.324354458,-0.103760177,-1.562345022,-0.577839043,0.706164165
-1.596707461,-1.792169548,1.411345261,-0.400463053,-0.474470022,-0.468359617,0.704452571
-1.813076164,-2.248012801,2.398232293,0.089416024,-1.552518748,-0.529250434,0.676449948
-1.596396484,-1.792171472,1.411599402,-0.40017855,-0.474679145,-0.468015278,0.70460954
-1.596396484,-1.792171472,1.411599402,-0.40017855,-0.474679145,-0.468015278,0.70460954
-1.811112535,-2.235690826,2.426524756,0.160415058,-1.530573891,-0.459233303,0.676691677
-1.916961019,-2.184650751,2.419889138,0.190078384,-1.588179384,-0.242479653,0.699036256
-1.916961019,-2.184650751,2.419889138,0.190078384,-1.588179384,-0.242479653,0.699036256
-1.916961019,-2.184650751,2.419889138,0.190078384,-1.588179384,-0.242479653,0.699036256
-1.916961019,-2.184650751,2.419889138,0.190078384,-1.588179384,-0.242479653,0.699036256
-1.916961019,-2.184650751,2.419889138,0.190078384,-1.588179384,-0.242479653,0.699036256
-2.155177638,-1.089514011,3.051015529,0.43956234,-0.396331428,0.8792103,0.563808798
-2.037133559,-2.39532676,2.221958112,1.493570187,-0.405959151,0.09508187,0.201928758
-2.037133559,-2.39532676,2.221958112,1.493570187,-0.405959151,0.09508187,0.201928758
-2.037133559,-2.39532676,2.221958112,1.493570187,-0.405959151,0.09508187,0.201928758
-2.174125215,-2.523434077,2.087604564,1.416128547,-0.178665575,0.07095638,0.356107857
-1.867122346,-2.134699421,2.423501165,0.138174664,-1.52922735,-0.419505438,0.694124758
-1.596707461,-1.792169548,1.411345261,-0.400463053,-0.474470022,-0.468359617,0.704452571
-1.619037499,-1.67771962,1.471168559,-0.236487011,-0.325217708,-0.394499907,0.703278051
-2.155177638,-1.089514011,3.051015529,0.43956234,-0.396331428,0.8792103,0.563808798
-2.155177638,-1.089514011,3.051015529,0.43956234,-0.396331428,0.8792103,0.563808798
-1.597482509,-1.792130487,1.410632361,-0.401128078,-0.473983584,-0.469018565,0.704074431
-1.596707461,-1.792169548,1.411345261,-0.400463053,-0.474470022,-0.468359617,0.704452571
-1.916961019,-2.184650751,2.419889138,0.190078384,-1.588179384,-0.242479653,0.699036256
-2.155177638,-1.089514011,3.051015529,0.43956234,-0.396331428,0.8792103,0.563808798
-1.916961019,-2.184650751,2.419889138,0.190078384,-1.588179384,-0.242479653,0.699036256
-1.774807265,-2.182436221,2.324354458,-0.103760177,-1.562345022,-0.577839043,0.706164165
-1.596707461,-1.792169548,1.411345261,-0.400463053,-0.474470022,-0.468359617,0.704452571
-1.542134328,-0.269489216,1.800523573,-0.135786556,1.017765916,-0.046818853,0.577430032
-1.596707461,-1.792169548,1.411345261,-0.400463053,-0.474470022,-0.468359617,0.704452571
-1.867122346,-2.134699421,2.423501165,0.138174664,-1.52922735,-0.419505438,0.694124758
-1.596707461,-1.792169548,1.411345261,-0.400463053,-0.474470022,-0.468359617,0.704452571
-1.225494185,-1.838187485,2.940445742,0.962784742,0.945118985,-0.912855774,-0.005020511
-1.774807265,-2.182436221,2.324354458,-0.103760177,-1.562345022,-0.577839043,0.706164165
-1.80918969,-2.23789726,2.43079625,0.15677789,-1.526560839,-0.473078396,0.675391348
-1.59649122,-1.792645601,1.412105655,-0.401460565,-0.473445084,-0.47164794,0.704061224
-1.80918969,-2.23789726,2.43079625,0.15677789,-1.526560839,-0.473078396,0.675391348
-1.774807265,-2.182436221,2.324354458,-0.103760177,-1.562345022,-0.577839043,0.706164165
